"Secure Checkout","Thanh Toán"
"First Name","Tên"
"Last Name","Họ"
"Town / City","Tỉnh / Thành Phố"
"Postcode / Zip","Mã bưu chính"
"Phone","Số điện thoại"
"Check / Money order","Thanh toán khi nhận hàng"
"Apartment / Suite / Building","Số nhà"
"Apply a Promo Code","Thêm mã giảm giá"
"Subtotal","Thành tiền"
"Total to pay","Thanh toán"

"User Guide","Hướng dẫn"
"Email Address","Địa chỉ Email"
"Password","Mật khẩu"
"Fax","Fax"
"Check your email for reset instructions.","Kiểm tra email của bạn để biết hướng dẫn đặt lại."
"Page not found.","Không tìm thấy trang."
"One-page checkout is turned off.","Thanh toán một trang đã bị tắt."
"Guest checkout is disabled. Please Login or Create an Account","Thanh toán với khách đã bị vô hiệu hóa. Vui lòng đăng nhập hoặc tạo tài khoản."
"Show logo and title","Hiển thị logo và tiêu đề"
"Show title only","Chỉ hiển thị tiêu đề"
"Please select a country.","Vui lòng chọn một quốc gia."
"Empty Cart","Giỏ hàng rỗng"
"Looks like there's nothing here yet. Add something to your shopping cart to get started.","Dường như chưa có gì ở đây. Thêm một số mặt hàng vào giỏ hàng của bạn để bắt đầu."
"Continue Shopping","Tiếp tục mua sắm"
"My Account","Tài khoản của tôi"
"Log In","Đăng nhập"
"Checkout Suite by IWD Agency","Thanh toán bởi IWD Agency"
"Choose a Different Payment Method","Chọn một phương thức thanh toán khác"
"Order Confirmation","Xác nhận đơn hàng"
"Your order (%s) has been placed. You will receive an email with more details of your purchase.","Đơn hàng của bạn (%s) đã được đặt. Bạn sẽ nhận được một email với chi tiết hơn về đơn hàng của mình."
"<a href=""%1"" target=""_blank"" class=""printReceipt"">Print receipt</a>","<a href=""%1"" target=""_blank"" class=""printReceipt"">In hóa đơn</a>"
"Create Account","Tạo tài khoản"
"Save your shipping and payment details for your next purchase. We'll send instructions on how to create your account to your inbox.","Lưu chi tiết vận chuyển và thanh toán để mua hàng lần sau. Chúng tôi sẽ gửi hướng dẫn cách tạo tài khoản đến hộp thư đến của bạn."
"Welcome to %store_name","Chào mừng đến với %store_name"
"%name,","%name,"
"Thank you for confirming your %store_name account.","Cảm ơn bạn đã xác nhận tài khoản %store_name của mình."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Để đăng nhập vào trang web của chúng tôi, sử dụng thông tin đăng nhập này trong quá trình thanh toán hoặc trên trang <a href=""%customer_url"">Tài khoản của tôi</a>:"
"Email:","Email:"
"Password:","Mật khẩu:"
"Please Follow Link Below to Set Password","Vui lòng nhấp vào liên kết bên dưới để đặt mật khẩu"
"To Set Password Click <a href=""%reset_url"">here</a>.","Để đặt mật khẩu, nhấp vào <a href=""%reset_url"">đây</a>."
"When you sign in to your account, you will be able to:","Khi đăng nhập vào tài khoản của bạn, bạn sẽ có thể:"
"Proceed through checkout faster","Tiến hành thanh toán nhanh hơn"
"Check the status of orders","Kiểm tra trạng thái đơn hàng"
"View past orders","Xem các đơn hàng trước đó"
"Store alternative addresses (for shipping to multiple family members and friends)","Lưu trữ các địa chỉ thay thế (để gửi hàng cho nhiều thành viên trong gia đình và bạn bè)"
"My billing and shipping address are the same","Địa chỉ thanh toán và giao hàng của tôi giống nhau"
"Save in address book","Lưu vào sổ địa chỉ"
"Billing Address","Địa chỉ thanh toán"
"Captcha is case sensitive","Captcha phân biệt chữ hoa chữ thường"
"Reload captcha","Tải lại captcha"
Reset,Đặt lại
"Gift Message","Tin nhắn quà tặng"
"Gift Entire Order","Tặng toàn bộ đơn hàng"
"Gift Receipt","Hóa đơn tặng"
"Printed card","Thẻ in"
"Gift Individual Items","Tặng các mặt hàng riêng lẻ"
"Log Out","Đăng xuất"
"Payment Method","Phương thức thanh toán"
"Make sure your shipping address is completed, and a shipping method has been selected.","Vui lòng đảm bảo điền đầy đủ địa chỉ giao hàng và chọn phương thức vận chuyển."
"No Payment Methods.","Không có phương thức thanh toán nào."
"Place Order","Đặt hàng"
"Sign Up For Newsletter","Đăng ký nhận tin"
"Store Credit","Tín dụng trong cửa hàng"
"Previous Credit Balance","Số dư tín dụng trước đó"
"New Credit Balance","Số dư tín dụng mới"
Remove,Xóa
Apply,Áp dụng
Cancel,Hủy bỏ
"Discount Code","Mã giảm giá"
"Discount Amount","Số tiền giảm giá"
"Gift Code","Mã quà tặng"
Status,Trạng thái
Active,Kích hoạt
"Previous Gift Balance","Số dư quà tặng trước đó"
"New Gift Balance","Số dư quà tặng mới"
"Add Another","Thêm một cái khác"
